Team ;Home;GoalsScored;GoalsConceded ;Season
Ath Bilbao;1;1;0;2019/2020
Celta;1;1;3;2019/2020
Valencia;1;1;1;2019/2020
Mallorca;1;2;1;2019/2020
Leganes;1;0;1;2019/2020
Villarreal;1;4;4;2019/2020
Alaves;1;1;0;2019/2020
Espanol;1;0;2;2019/2020
Betis;1;1;2;2019/2020
Ath Madrid;1;1;0;2019/2020
Granada;1;0;1;2019/2020
Levante;1;2;1;2019/2020
Osasuna;1;0;0;2019/2020
Real Madrid;1;1;1;2019/2020
Celta;1;1;0;2019/2020
Getafe;1;1;1;2019/2020
Alaves;1;0;0;2019/2020
Mallorca;1;0;1;2019/2020
Leganes;1;0;1;2019/2020
Barcelona;1;5;2;2019/2020
Sevilla;1;1;1;2019/2020
Ath Bilbao;1;2;0;2019/2020
Osasuna;1;2;2;2019/2020
Getafe;1;1;1;2019/2020
Levante;1;2;0;2019/2020
Betis;1;2;1;2019/2020
Valencia;1;2;0;2019/2020
Ath Madrid;1;3;2;2019/2020
Espanol;1;0;3;2019/2020
Villarreal;1;2;2;2019/2020
Mallorca;1;0;0;2019/2020
Real Madrid;1;3;2;2019/2020
Leganes;1;0;3;2019/2020
Sociedad;1;2;0;2019/2020
Barcelona;1;5;2;2019/2020
Eibar;1;1;2;2019/2020
Alaves;1;0;1;2019/2020
Celta;1;0;2;2019/2020
Valladolid;1;1;1;2019/2020
Betis;1;1;1;2019/2020
Osasuna;1;0;0;2019/2020
Villarreal;1;2;0;2019/2020
Levante;1;0;0;2019/2020
Ath Madrid;1;0;0;2019/2020
Granada;1;2;0;2019/2020
Getafe;1;4;2;2019/2020
Espanol;1;1;3;2019/2020
Valencia;1;1;1;2019/2020
Ath Bilbao;1;2;0;2019/2020
Sevilla;1;0;1;2019/2020
Valladolid;1;1;1;2019/2020
Betis;1;3;1;2019/2020
Barcelona;1;2;1;2019/2020
Leganes;1;1;1;2019/2020
Mallorca;1;0;2;2019/2020
Valencia;1;3;3;2019/2020
Real Madrid;1;2;0;2019/2020
Eibar;1;3;2;2019/2020
Celta;1;1;1;2019/2020
Sociedad;1;3;0;2019/2020
Villarreal;1;5;1;2019/2020
Ath Bilbao;1;0;1;2019/2020
Getafe;1;0;2;2019/2020
Granada;1;1;0;2019/2020
Ath Madrid;1;0;0;2019/2020
Espanol;1;0;2;2019/2020
Eibar;1;2;0;2019/2020
Alaves;1;2;0;2019/2020
Levante;1;1;1;2019/2020
Sevilla;1;3;2;2019/2020
Betis;1;1;1;2019/2020
Leganes;1;1;2;2019/2020
Real Madrid;1;4;2;2019/2020
Valencia;1;2;1;2019/2020
Osasuna;1;2;1;2019/2020
Mallorca;1;2;0;2019/2020
Celta;1;1;0;2019/2020
Valladolid;1;0;0;2019/2020
Sociedad;1;1;2;2019/2020
Barcelona;1;4;0;2019/2020
Granada;1;1;0;2019/2020
Eibar;1;0;3;2019/2020
Ath Madrid;1;1;1;2019/2020
Getafe;1;2;0;2019/2020
Mallorca;1;1;0;2019/2020
Alaves;1;2;0;2019/2020
Sociedad;1;3;1;2019/2020
Espanol;1;0;1;2019/2020
Ath Bilbao;1;1;1;2019/2020
Sevilla;1;1;0;2019/2020
Villarreal;1;4;1;2019/2020
Leganes;1;1;0;2019/2020
Valladolid;1;2;0;2019/2020
Ath Madrid;1;2;0;2019/2020
Celta;1;0;1;2019/2020
Granada;1;1;0;2019/2020
Levante;1;0;1;2019/2020
Sevilla;1;2;0;2019/2020
Osasuna;1;3;1;2019/2020
Alaves;1;1;1;2019/2020
Barcelona;1;5;1;2019/2020
Sociedad;1;1;2;2019/2020
Valencia;1;1;1;2019/2020
Ath Bilbao;1;3;0;2019/2020
Betis;1;2;1;2019/2020
Real Madrid;1;5;0;2019/2020
Eibar;1;2;1;2019/2020
Mallorca;1;2;2;2019/2020
Getafe;1;3;1;2019/2020
Espanol;1;1;2;2019/2020
Levante;1;3;1;2019/2020
Sevilla;1;1;1;2019/2020
Real Madrid;1;0;0;2019/2020
Valladolid;1;3;0;2019/2020
Villarreal;1;0;0;2019/2020
Osasuna;1;4;2;2019/2020
Celta;1;0;1;2019/2020
Leganes;1;1;2;2019/2020
Granada;1;1;2;2019/2020
Sociedad;1;1;1;2019/2020
Alaves;1;3;0;2019/2020
Valencia;1;2;0;2019/2020
Eibar;1;0;4;2019/2020
Barcelona;1;4;1;2019/2020
Mallorca;1;3;1;2019/2020
Ath Bilbao;1;2;1;2019/2020
Ath Madrid;1;3;1;2019/2020
Getafe;1;0;0;2019/2020
Betis;1;1;2;2019/2020
Levante;1;2;1;2019/2020
Leganes;1;1;2;2019/2020
Betis;1;2;1;2019/2020
Granada;1;1;1;2019/2020
Real Madrid;1;3;1;2019/2020
Espanol;1;1;1;2019/2020
Osasuna;1;1;2;2019/2020
Eibar;1;0;2;2019/2020
Villarreal;1;1;3;2019/2020
Valladolid;1;0;1;2019/2020
Celta;1;0;0;2019/2020
Alaves;1;1;2;2019/2020
Sociedad;1;4;1;2019/2020
Mallorca;1;1;2;2019/2020
Valencia;1;2;1;2019/2020
Sevilla;1;1;0;2019/2020
Ath Bilbao;1;2;0;2019/2020
Espanol;1;2;4;2019/2020
Getafe;1;4;0;2019/2020
Ath Madrid;1;0;1;2019/2020
Villarreal;1;0;0;2019/2020
Real Madrid;1;2;0;2019/2020
Granada;1;3;0;2019/2020
Levante;1;2;4;2019/2020
Barcelona;1;5;2;2019/2020
Eibar;1;0;1;2019/2020
Betis;1;3;2;2019/2020
Valladolid;1;0;0;2019/2020
Leganes;1;3;2;2019/2020
Osasuna;1;1;1;2019/2020
Alaves;1;1;1;2019/2020
Granada;1;1;2;2019/2020
Sociedad;1;2;2;2019/2020
Ath Bilbao;1;0;0;2019/2020
Ath Madrid;1;2;0;2019/2020
Getafe;1;2;0;2019/2020
Celta;1;2;2;2019/2020
Espanol;1;2;2;2019/2020
Sevilla;1;1;2;2019/2020
Valencia;1;1;1;2019/2020
Barcelona;1;0;0;2019/2020
Eibar;1;3;0;2019/2020
Mallorca;1;0;2;2019/2020
Barcelona;1;4;1;2019/2020
Villarreal;1;1;0;2019/2020
Valladolid;1;1;1;2019/2020
Leganes;1;2;0;2019/2020
Osasuna;1;3;4;2019/2020
Betis;1;1;2;2019/2020
Levante;1;3;1;2019/2020
Real Madrid;1;0;0;2019/2020
Valladolid;1;2;2;2019/2020
Sevilla;1;1;1;2019/2020
Valencia;1;1;0;2019/2020
Getafe;1;0;3;2019/2020
Ath Madrid;1;2;1;2019/2020
Espanol;1;2;2;2019/2020
Granada;1;1;0;2019/2020
Sociedad;1;1;2;2019/2020
Alaves;1;1;1;2019/2020
Celta;1;1;1;2019/2020
Leganes;1;0;3;2019/2020
Levante;1;0;1;2019/2020
Real Madrid;1;2;1;2019/2020
Osasuna;1;0;0;2019/2020
Eibar;1;2;0;2019/2020
Mallorca;1;4;1;2019/2020
Betis;1;3;0;2019/2020
Villarreal;1;1;2;2019/2020
Ath Bilbao;1;1;1;2019/2020
Barcelona;1;1;0;2019/2020
Osasuna;1;2;0;2019/2020
Espanol;1;1;1;2019/2020
Valencia;1;2;0;2019/2020
Alaves;1;1;2;2019/2020
Sevilla;1;2;0;2019/2020
Ath Madrid;1;0;0;2019/2020
Celta;1;0;0;2019/2020
Getafe;1;1;0;2019/2020
Sociedad;1;3;0;2019/2020
Valladolid;1;0;1;2019/2020
Granada;1;2;1;2019/2020
Real Madrid;1;1;0;2019/2020
Mallorca;1;0;1;2019/2020
Valencia;1;1;0;2019/2020
Leganes;1;2;1;2019/2020
Eibar;1;1;1;2019/2020
Ath Bilbao;1;0;2;2019/2020
Sevilla;1;1;1;2019/2020
Villarreal;1;3;1;2019/2020
Barcelona;1;2;1;2019/2020
Alaves;1;2;1;2019/2020
Levante;1;2;0;2019/2020
Getafe;1;3;0;2019/2020
Valladolid;1;1;1;2019/2020
Ath Madrid;1;1;0;2019/2020
Espanol;1;1;0;2019/2020
Sociedad;1;2;1;2019/2020
Osasuna;1;1;4;2019/2020
Celta;1;2;1;2019/2020
Betis;1;2;3;2019/2020
Valencia;1;2;2;2019/2020
Mallorca;1;1;0;2019/2020
Barcelona;1;2;1;2019/2020
Villarreal;1;2;1;2019/2020
Granada;1;2;1;2019/2020
Sevilla;1;2;2;2019/2020
Leganes;1;0;0;2019/2020
Ath Bilbao;1;0;1;2019/2020
Real Madrid;1;2;2;2019/2020
Betis;1;3;3;2019/2020
Celta;1;1;0;2019/2020
Barcelona;1;5;0;2019/2020
Sociedad;1;3;0;2019/2020
Levante;1;1;0;2019/2020
Osasuna;1;0;3;2019/2020
Alaves;1;2;1;2019/2020
Valladolid;1;2;1;2019/2020
Getafe;1;0;3;2019/2020
Ath Madrid;1;3;1;2019/2020
Sociedad;1;1;0;2019/2020
Eibar;1;3;0;2019/2020
Valencia;1;2;1;2019/2020
Leganes;1;1;1;2019/2020
Granada;1;0;0;2019/2020
Sevilla;1;3;2;2019/2020
Ath Bilbao;1;1;0;2019/2020
Espanol;1;1;1;2019/2020
Mallorca;1;0;1;2019/2020
Real Madrid;1;2;0;2019/2020
Alaves;1;1;1;2019/2020
Eibar;1;1;2;2019/2020
Ath Madrid;1;2;2;2019/2020
Barcelona;1;1;0;2019/2020
Getafe;1;0;0;2019/2020
Osasuna;1;1;0;2019/2020
Valladolid;1;1;4;2019/2020
Levante;1;1;1;2019/2020
Villarreal;1;1;2;2019/2020
Betis;1;2;1;2019/2020
Barcelona;0;0;1;2019/2020
Real Madrid;0;3;1;2019/2020
Sociedad;0;1;1;2019/2020
Eibar;0;1;2;2019/2020
Osasuna;0;1;0;2019/2020
Granada;0;4;4;2019/2020
Levante;0;0;1;2019/2020
Sevilla;0;2;0;2019/2020
Valladolid;0;2;1;2019/2020
Getafe;0;0;1;2019/2020
Sevilla;0;1;0;2019/2020
Villarreal;0;1;2;2019/2020
Eibar;0;0;0;2019/2020
Valladolid;0;1;1;2019/2020
Valencia;0;0;1;2019/2020
Ath Bilbao;0;1;1;2019/2020
Espanol;0;0;0;2019/2020
Sociedad;0;1;0;2019/2020
Ath Madrid;0;1;0;2019/2020
Betis;0;2;5;2019/2020
Celta;0;1;1;2019/2020
Sociedad;0;0;2;2019/2020
Barcelona;0;2;2;2019/2020
Alaves;0;1;1;2019/2020
Valladolid;0;0;2;2019/2020
Leganes;0;1;2;2019/2020
Mallorca;0;0;2;2019/2020
Eibar;0;2;3;2019/2020
Granada;0;3;0;2019/2020
Real Madrid;0;2;2;2019/2020
Ath Bilbao;0;0;0;2019/2020
Levante;0;2;3;2019/2020
Villarreal;0;3;0;2019/2020
Ath Madrid;0;0;2;2019/2020
Valencia;0;2;5;2019/2020
Espanol;0;2;1;2019/2020
Sevilla;0;1;0;2019/2020
Granada;0;2;0;2019/2020
Osasuna;0;1;1;2019/2020
Getafe;0;1;1;2019/2020
Betis;0;0;0;2019/2020
Valladolid;0;0;2;2019/2020
Eibar;0;0;0;2019/2020
Celta;0;0;0;2019/2020
Barcelona;0;0;2;2019/2020
Mallorca;0;2;4;2019/2020
Sociedad;0;3;1;2019/2020
Leganes;0;1;1;2019/2020
Alaves;0;0;2;2019/2020
Real Madrid;0;1;0;2019/2020
Granada;0;1;1;2019/2020
Levante;0;1;3;2019/2020
Villarreal;0;1;2;2019/2020
Ath Bilbao;0;1;1;2019/2020
Ath Madrid;0;2;0;2019/2020
Getafe;0;3;3;2019/2020
Osasuna;0;0;2;2019/2020
Sevilla;0;2;3;2019/2020
Espanol;0;1;1;2019/2020
Alaves;0;0;3;2019/2020
Betis;0;1;5;2019/2020
Valencia;0;1;0;2019/2020
Barcelona;0;2;0;2019/2020
Leganes;0;0;1;2019/2020
Real Madrid;0;0;0;2019/2020
Valladolid;0;2;0;2019/2020
Celta;0;0;2;2019/2020
Mallorca;0;0;2;2019/2020
Osasuna;0;1;1;2019/2020
Sociedad;0;2;3;2019/2020
Eibar;0;1;1;2019/2020
Levante;0;2;1;2019/2020
Granada;0;2;4;2019/2020
Alaves;0;1;2;2019/2020
Villarreal;0;1;2;2019/2020
Espanol;0;0;2;2019/2020
Ath Bilbao;0;0;1;2019/2020
Ath Madrid;0;0;0;2019/2020
Getafe;0;2;1;2019/2020
Sevilla;0;0;4;2019/2020
Osasuna;0;0;1;2019/2020
Barcelona;0;3;0;2019/2020
Valencia;0;1;1;2019/2020
Leganes;0;0;2;2019/2020
Real Madrid;0;0;1;2019/2020
Celta;0;0;2;2019/2020
Betis;0;1;3;2019/2020
Villarreal;0;1;0;2019/2020
Valladolid;0;1;1;2019/2020
Levante;0;0;1;2019/2020
Alaves;0;1;4;2019/2020
Mallorca;0;0;1;2019/2020
Eibar;0;0;2;2019/2020
Ath Bilbao;0;0;2;2019/2020
Sociedad;0;1;0;2019/2020
Betis;0;0;1;2019/2020
Espanol;0;1;0;2019/2020
Getafe;0;0;2;2019/2020
Valencia;0;1;3;2019/2020
Ath Madrid;0;1;1;2019/2020
Valladolid;0;1;5;2019/2020
Levante;0;2;1;2019/2020
Sevilla;0;1;1;2019/2020
Espanol;0;0;3;2019/2020
Celta;0;1;2;2019/2020
Leganes;0;0;5;2019/2020
Villarreal;0;1;2;2019/2020
Osasuna;0;2;2;2019/2020
Granada;0;1;3;2019/2020
Valencia;0;2;1;2019/2020
Barcelona;0;1;3;2019/2020
Ath Madrid;0;1;1;2019/2020
Betis;0;0;0;2019/2020
Mallorca;0;0;3;2019/2020
Ath Bilbao;0;0;0;2019/2020
Alaves;0;2;4;2019/2020
Getafe;0;1;0;2019/2020
Eibar;0;2;1;2019/2020
Sociedad;0;2;1;2019/2020
Leganes;0;1;1;2019/2020
Valladolid;0;0;3;2019/2020
Granada;0;0;2;2019/2020
Real Madrid;0;4;0;2019/2020
Celta;0;1;4;2019/2020
Villarreal;0;1;3;2019/2020
Levante;0;1;2;2019/2020
Espanol;0;1;3;2019/2020
Osasuna;0;0;0;2019/2020
Sevilla;0;2;1;2019/2020
Mallorca;0;1;2;2019/2020
Barcelona;0;2;1;2019/2020
Valencia;0;1;2;2019/2020
Ath Madrid;0;1;1;2019/2020
Sociedad;0;1;3;2019/2020
Getafe;0;1;1;2019/2020
Ath Bilbao;0;2;1;2019/2020
Alaves;0;2;0;2019/2020
Celta;0;3;1;2019/2020
Sevilla;0;1;0;2019/2020
Valladolid;0;0;0;2019/2020
Real Madrid;0;2;1;2019/2020
Eibar;0;1;4;2019/2020
Betis;0;2;1;2019/2020
Villarreal;0;1;2;2019/2020
Leganes;0;0;1;2019/2020
Granada;0;0;2;2019/2020
Osasuna;0;4;2;2019/2020
Levante;0;0;4;2019/2020
Barcelona;0;1;0;2019/2020
Ath Madrid;0;0;0;2019/2020
Espanol;0;0;2;2019/2020
Alaves;0;0;3;2019/2020
Valencia;0;4;2;2019/2020
Mallorca;0;2;5;2019/2020
Getafe;0;1;0;2019/2020
Ath Bilbao;0;2;3;2019/2020
Sociedad;0;0;0;2019/2020
Celta;0;2;3;2019/2020
Sevilla;0;1;1;2019/2020
Leganes;0;1;1;2019/2020
Levante;0;2;1;2019/2020
Barcelona;0;2;2;2019/2020
Eibar;0;0;0;2019/2020
Osasuna;0;0;2;2019/2020
Valladolid;0;0;2;2019/2020
Mallorca;0;2;2;2019/2020
Betis;0;2;2;2019/2020
Villarreal;0;2;1;2019/2020
Real Madrid;0;1;1;2019/2020
Real Madrid;0;0;0;2019/2020
Granada;0;0;3;2019/2020
Sevilla;0;2;0;2019/2020
Alaves;0;1;4;2019/2020
Getafe;0;0;1;2019/2020
Valencia;0;1;1;2019/2020
Espanol;0;0;2;2019/2020
Sociedad;0;4;3;2019/2020
Ath Madrid;0;2;1;2019/2020
Celta;0;1;3;2019/2020
Ath Bilbao;0;0;0;2019/2020
Leganes;0;2;2;2019/2020
Ath Bilbao;0;1;1;2019/2020
Eibar;0;0;1;2019/2020
Real Madrid;0;3;0;2019/2020
Levante;0;1;2;2019/2020
Barcelona;0;2;2;2019/2020
Mallorca;0;0;1;2019/2020
Villarreal;0;2;1;2019/2020
Betis;0;1;1;2019/2020
Osasuna;0;1;1;2019/2020
Getafe;0;3;0;2019/2020
Alaves;0;1;0;2019/2020
Sevilla;0;1;2;2019/2020
Valladolid;0;0;0;2019/2020
Ath Madrid;0;0;2;2019/2020
Valencia;0;1;4;2019/2020
Sociedad;0;0;3;2019/2020
Espanol;0;2;1;2019/2020
Celta;0;1;1;2019/2020
Granada;0;0;1;2019/2020
Levante;0;0;2;2019/2020
Ath Bilbao;0;1;1;2019/2020
Barcelona;0;0;2;2019/2020
Villarreal;0;2;1;2019/2020
Granada;0;0;2;2019/2020
Leganes;0;0;0;2019/2020
Eibar;0;0;0;2019/2020
Betis;0;0;1;2019/2020
Mallorca;0;0;3;2019/2020
Real Madrid;0;1;0;2019/2020
Espanol;0;1;2;2019/2020
Ath Madrid;0;0;1;2019/2020
Valladolid;0;1;0;2019/2020
Celta;0;0;1;2019/2020
Sociedad;0;1;2;2019/2020
Betis;0;1;1;2019/2020
Getafe;0;2;0;2019/2020
Alaves;0;1;1;2019/2020
Osasuna;0;1;3;2019/2020
Levante;0;1;2;2019/2020
Eibar;0;1;2;2019/2020
Leganes;0;0;2;2019/2020
Valencia;0;0;3;2019/2020
Villarreal;0;1;1;2019/2020
Granada;0;0;1;2019/2020
Mallorca;0;0;1;2019/2020
Ath Bilbao;0;1;2;2019/2020
Real Madrid;0;4;1;2019/2020
Sevilla;0;1;2;2019/2020
Barcelona;0;3;2;2019/2020
Ath Madrid;0;2;2;2019/2020
Alaves;0;0;1;2019/2020
Getafe;0;1;2;2019/2020
Levante;0;1;2;2019/2020
Valladolid;0;1;2;2019/2020
Espanol;0;2;2;2019/2020
Betis;0;0;0;2019/2020
Osasuna;0;1;0;2019/2020
Celta;0;2;2;2019/2020
Mallorca;0;3;3;2019/2020
Leganes;0;0;1;2019/2020
Eibar;0;0;5;2019/2020
Valencia;0;0;3;2019/2020
Real Madrid;0;0;1;2019/2020
Granada;0;3;0;2019/2020
Ath Bilbao;0;1;2;2019/2020
Espanol;0;1;2;2019/2020
Sevilla;0;3;0;2019/2020
Villarreal;0;1;3;2019/2020
Valladolid;0;0;1;2019/2020
Levante;0;0;3;2019/2020
Betis;0;1;2;2019/2020
Alaves;0;1;1;2019/2020
Celta;0;0;0;2019/2020
Osasuna;0;2;3;2019/2020
Villarreal;0;0;1;2019/2020
Ath Madrid;0;1;1;2019/2020
Getafe;0;1;0;2019/2020
Barcelona;0;0;2;2019/2020
Valencia;0;1;1;2019/2020
Mallorca;0;2;1;2019/2020
Sevilla;0;2;2;2019/2020
Sociedad;0;0;1;2019/2020
Celta;0;0;0;2019/2020
Espanol;0;0;1;2019/2020
Ath Bilbao;0;4;1;2019/2020
Granada;0;1;1;2019/2020
Leganes;0;2;1;2019/2020
Real Madrid;0;1;2;2019/2020
Betis;1;0;3;2018/2019
Girona;1;0;0;2018/2019
Barcelona;1;3;0;2018/2019
Celta;1;1;1;2018/2019
Villarreal;1;1;2;2018/2019
Eibar;1;1;2;2018/2019
Real Madrid;1;2;0;2018/2019
Vallecano;1;1;4;2018/2019
Ath Bilbao;1;2;1;2018/2019
Valencia;1;1;1;2018/2019
Getafe;1;2;0;2018/2019
Leganes;1;2;2;2018/2019
Alaves;1;0;0;2018/2019
Ath Madrid;1;1;0;2018/2019
Valladolid;1;0;1;2018/2019
Espanol;1;2;0;2018/2019
Girona;1;1;4;2018/2019
Sevilla;1;0;0;2018/2019
Ath Bilbao;1;2;2;2018/2019
Levante;1;1;2;2018/2019
Eibar;1;2;1;2018/2019
Getafe;1;0;0;2018/2019
Villarreal;1;0;1;2018/2019
Celta;1;2;0;2018/2019
Real Madrid;1;4;1;2018/2019
Alaves;1;2;1;2018/2019
Barcelona;1;8;2;2018/2019
Betis;1;1;0;2018/2019
Levante;1;2;2;2018/2019
Huesca;1;0;1;2018/2019
Ath Bilbao;1;1;1;2018/2019
Ath Madrid;1;1;1;2018/2019
Sociedad;1;1;2;2018/2019
Valencia;1;0;0;2018/2019
Espanol;1;1;0;2018/2019
Leganes;1;0;1;2018/2019
Sevilla;1;0;2;2018/2019
Valladolid;1;0;1;2018/2019
Girona;1;3;2;2018/2019
Huesca;1;0;1;2018/2019
Celta;1;3;3;2018/2019
Eibar;1;1;0;2018/2019
Getafe;1;0;2;2018/2019
Real Madrid;1;1;0;2018/2019
Vallecano;1;1;5;2018/2019
Barcelona;1;2;2;2018/2019
Betis;1;2;2;2018/2019
Levante;1;2;6;2018/2019
Villarreal;1;0;0;2018/2019
Ath Madrid;1;3;0;2018/2019
Espanol;1;1;0;2018/2019
Sociedad;1;2;2;2018/2019
Ath Bilbao;1;0;3;2018/2019
Leganes;1;2;1;2018/2019
Sevilla;1;3;0;2018/2019
Valencia;1;1;1;2018/2019
Alaves;1;1;1;2018/2019
Girona;1;0;1;2018/2019
Valladolid;1;2;1;2018/2019
Vallecano;1;2;2;2018/2019
Barcelona;1;1;1;2018/2019
Eibar;1;1;3;2018/2019
Real Madrid;1;0;0;2018/2019
Sociedad;1;0;1;2018/2019
Betis;1;1;0;2018/2019
Huesca;1;1;1;2018/2019
Levante;1;2;1;2018/2019
Villarreal;1;0;1;2018/2019
Celta;1;1;1;2018/2019
Ath Bilbao;1;1;3;2018/2019
Alaves;1;1;0;2018/2019
Getafe;1;0;1;2018/2019
Girona;1;2;3;2018/2019
Leganes;1;1;0;2018/2019
Ath Madrid;1;1;0;2018/2019
Espanol;1;3;1;2018/2019
Sevilla;1;2;1;2018/2019
Valencia;1;1;1;2018/2019
Valladolid;1;1;0;2018/2019
Celta;1;0;1;2018/2019
Barcelona;1;4;2;2018/2019
Real Madrid;1;1;2;2018/2019
Valencia;1;1;1;2018/2019
Villarreal;1;1;1;2018/2019
Betis;1;0;1;2018/2019
Eibar;1;1;1;2018/2019
Huesca;1;0;2;2018/2019
Vallecano;1;1;2;2018/2019
Sociedad;1;0;0;2018/2019
Vallecano;1;1;1;2018/2019
Valladolid;1;1;1;2018/2019
Ath Bilbao;1;0;0;2018/2019
Ath Madrid;1;2;0;2018/2019
Celta;1;4;0;2018/2019
Girona;1;2;1;2018/2019
Levante;1;2;0;2018/2019
Alaves;1;2;1;2018/2019
Barcelona;1;5;1;2018/2019
Getafe;1;2;0;2018/2019
Sevilla;1;2;1;2018/2019
Leganes;1;1;1;2018/2019
Real Madrid;1;2;0;2018/2019
Valencia;1;0;1;2018/2019
Vallecano;1;2;3;2018/2019
Betis;1;3;3;2018/2019
Eibar;1;2;1;2018/2019
Huesca;1;1;1;2018/2019
Sociedad;1;0;0;2018/2019
Villarreal;1;1;1;2018/2019
Espanol;1;1;0;2018/2019
Levante;1;1;3;2018/2019
Ath Madrid;1;3;2;2018/2019
Getafe;1;0;1;2018/2019
Girona;1;0;0;2018/2019
Valladolid;1;0;0;2018/2019
Alaves;1;2;1;2018/2019
Barcelona;1;3;4;2018/2019
Celta;1;2;4;2018/2019
Sevilla;1;2;1;2018/2019
Vallecano;1;2;2;2018/2019
Leganes;1;1;0;2018/2019
Ath Madrid;1;1;1;2018/2019
Eibar;1;3;0;2018/2019
Huesca;1;2;2;2018/2019
Valencia;1;3;0;2018/2019
Ath Bilbao;1;1;1;2018/2019
Espanol;1;1;3;2018/2019
Sevilla;1;1;0;2018/2019
Villarreal;1;2;1;2018/2019
Sociedad;1;2;1;2018/2019
Vallecano;1;1;0;2018/2019
Celta;1;2;0;2018/2019
Getafe;1;3;0;2018/2019
Real Madrid;1;2;0;2018/2019
Valladolid;1;2;4;2018/2019
Alaves;1;1;1;2018/2019
Barcelona;1;2;0;2018/2019
Betis;1;1;0;2018/2019
Girona;1;1;1;2018/2019
Levante;1;3;0;2018/2019
Leganes;1;1;1;2018/2019
Ath Madrid;1;3;0;2018/2019
Espanol;1;0;4;2018/2019
Valencia;1;1;1;2018/2019
Villarreal;1;2;3;2018/2019
Betis;1;2;0;2018/2019
Eibar;1;4;4;2018/2019
Huesca;1;0;1;2018/2019
Sociedad;1;1;2;2018/2019
Ath Bilbao;1;1;0;2018/2019
Celta;1;0;0;2018/2019
Eibar;1;1;1;2018/2019
Getafe;1;1;0;2018/2019
Real Madrid;1;1;0;2018/2019
Valladolid;1;2;3;2018/2019
Espanol;1;1;3;2018/2019
Huesca;1;2;2;2018/2019
Levante;1;0;5;2018/2019
Sevilla;1;2;0;2018/2019
Alaves;1;0;0;2018/2019
Girona;1;1;1;2018/2019
Sociedad;1;0;1;2018/2019
Ath Bilbao;1;1;1;2018/2019
Ath Madrid;1;1;0;2018/2019
Barcelona;1;2;0;2018/2019
Betis;1;1;1;2018/2019
Leganes;1;1;1;2018/2019
Valencia;1;2;1;2018/2019
Vallecano;1;2;1;2018/2019
Villarreal;1;2;2;2018/2019
Espanol;1;1;0;2018/2019
Levante;1;2;2;2018/2019
Alaves;1;2;1;2018/2019
Huesca;1;2;1;2018/2019
Valladolid;1;0;1;2018/2019
Eibar;1;0;0;2018/2019
Getafe;1;1;2;2018/2019
Real Madrid;1;0;2;2018/2019
Sevilla;1;1;1;2018/2019
Celta;1;1;2;2018/2019
Vallecano;1;4;2;2018/2019
Girona;1;1;1;2018/2019
Leganes;1;1;0;2018/2019
Valencia;1;1;1;2018/2019
Villarreal;1;1;2;2018/2019
Ath Bilbao;1;2;0;2018/2019
Ath Madrid;1;1;0;2018/2019
Barcelona;1;3;0;2018/2019
Betis;1;1;2;2018/2019
Sociedad;1;3;2;2018/2019
Getafe;1;4;0;2018/2019
Celta;1;1;2;2018/2019
Huesca;1;0;3;2018/2019
Real Madrid;1;2;0;2018/2019
Barcelona;1;3;1;2018/2019
Betis;1;3;2;2018/2019
Levante;1;2;0;2018/2019
Vallecano;1;2;2;2018/2019
Villarreal;1;1;1;2018/2019
Eibar;1;3;0;2018/2019
Ath Madrid;1;2;0;2018/2019
Leganes;1;2;2;2018/2019
Sevilla;1;5;0;2018/2019
Valencia;1;3;0;2018/2019
Ath Bilbao;1;1;0;2018/2019
Espanol;1;2;4;2018/2019
Girona;1;0;2;2018/2019
Sociedad;1;0;0;2018/2019
Valladolid;1;2;1;2018/2019
Alaves;1;0;1;2018/2019
Huesca;1;4;0;2018/2019
Barcelona;1;2;2;2018/2019
Celta;1;1;0;2018/2019
Levante;1;0;0;2018/2019
Sociedad;1;2;1;2018/2019
Betis;1;1;0;2018/2019
Eibar;1;3;0;2018/2019
Real Madrid;1;3;0;2018/2019
Villarreal;1;2;2;2018/2019
Vallecano;1;1;2;2018/2019
Valladolid;1;0;0;2018/2019
Ath Madrid;1;1;3;2018/2019
Espanol;1;2;1;2018/2019
Getafe;1;3;1;2018/2019
Girona;1;0;2;2018/2019
Ath Bilbao;1;0;0;2018/2019
Leganes;1;3;0;2018/2019
Sevilla;1;2;2;2018/2019
Valencia;1;0;0;2018/2019
Alaves;1;2;0;2018/2019
Eibar;1;2;2;2018/2019
Barcelona;1;1;0;2018/2019
Celta;1;1;4;2018/2019
Sociedad;1;3;0;2018/2019
Vallecano;1;0;1;2018/2019
Betis;1;1;1;2018/2019
Real Madrid;1;1;2;2018/2019
Valencia;1;0;0;2018/2019
Villarreal;1;3;0;2018/2019
Huesca;1;0;1;2018/2019
Espanol;1;1;1;2018/2019
Alaves;1;0;0;2018/2019
Ath Bilbao;1;1;0;2018/2019
Getafe;1;2;1;2018/2019
Sevilla;1;2;4;2018/2019
Ath Madrid;1;2;0;2018/2019
Leganes;1;1;1;2018/2019
Levante;1;1;2;2018/2019
Valladolid;1;0;2;2018/2019
Girona;1;0;0;2018/2019
Vallecano;1;0;2;2018/2019
Espanol;1;3;1;2018/2019
Huesca;1;2;1;2018/2019
Real Madrid;1;0;1;2018/2019
Villarreal;1;1;2;2018/2019
Betis;1;1;2;2018/2019
